Feature,X_Value,Partial_Effect,CI_Lower,CI_Upper
E_fixed_GPa,333.36266666666666,1080.3517508272005,784.749253558062,1375.954248096339
E_fixed_GPa,337.63111111111107,1110.9235800638417,806.0199256725721,1415.8272344551112
E_fixed_GPa,341.89955555555554,1141.3196630811237,827.9949523782104,1454.644373784037
E_fixed_GPa,346.168,1171.257839387612,851.2749983009892,1491.2406804742348
E_fixed_GPa,350.4364444444444,1200.4611616770294,876.4386847563742,1524.4836385976846
E_fixed_GPa,354.7048888888889,1228.7909236878393,903.867342235317,1553.7145051403616
E_fixed_GPa,358.9733333333333,1256.2576873116925,933.665950833952,1578.8494237894329
E_fixed_GPa,363.24177777777777,1282.8794371198912,965.8083228481873,1599.9505513915951
E_fixed_GPa,367.5102222222222,1308.6741576837373,1000.1654123714279,1617.1829029960468
E_fixed_GPa,371.77866666666665,1333.6598335745327,1036.5110782198499,1630.8085889292156
E_fixed_GPa,376.0471111111111,1357.8566794242806,1074.5102236385517,1641.2031352100096
E_fixed_GPa,380.31555555555553,1381.3127697067114,1113.6601765687951,1648.9653628446276
E_fixed_GPa,384.584,1404.0951168190015,1153.263004243076,1654.927229394927
E_fixed_GPa,388.8524444444444,1426.271095061491,1192.3970802058304,1660.1451099171516
E_fixed_GPa,393.1208888888889,1447.9080787345206,1229.857897611852,1665.9582598571892
E_fixed_GPa,397.3893333333333,1469.0734421384298,1264.128381136068,1674.0185031407916
E_fixed_GPa,401.65777777777777,1489.8335142940925,1293.4662828398612,1686.200745748324
E_fixed_GPa,405.9262222222222,1510.2474569726837,1316.2133431706116,1704.281570774756
E_fixed_GPa,410.19466666666665,1530.3714256241124,1331.276034755355,1729.4668164928696
E_fixed_GPa,414.4631111111111,1550.261565413103,1338.5246195732238,1761.998511252982
E_fixed_GPa,418.73155555555553,1569.9740215043803,1338.7600554985986,1801.187987510162
E_fixed_GPa,423.0,1589.56493906267,1333.2995481071375,1845.8303300182024
rho_fixed,1190.2,457.6727656144663,233.2255849607275,682.1199462682051
rho_fixed,1394.0262626262627,429.8654685308505,237.9110459061382,621.8198911555628
rho_fixed,1597.8525252525253,405.29702699297377,233.9281047698398,576.6659492161077
rho_fixed,1801.678787878788,384.54065639219465,221.67917280504867,547.4021399793406
rho_fixed,2005.5050505050506,368.16957211987125,204.502735778919,531.8364084608235
rho_fixed,2209.3313131313134,356.75698956736227,187.58003008929086,525.9339490454337
rho_fixed,2413.1575757575756,350.87412381166484,175.84819049334783,525.9000571299819
rho_fixed,2616.9838383838387,350.50750545056354,171.82120220015258,529.1938087009745
rho_fixed,2820.810101010101,354.2497423149422,174.24494258374577,534.2545420461386
rho_fixed,3024.636363636364,360.490151028011,181.09706124812988,539.8832408078921
rho_fixed,3228.462626262626,367.6180482129803,190.55636754633426,544.6797288796263
rho_fixed,3432.2888888888892,374.0227504930604,201.23592095878584,546.809580027335
rho_fixed,3636.1151515151514,378.1085806359007,212.09038442524235,544.1267768465591
rho_fixed,3839.9414141414145,379.06511349523703,222.03231097717668,536.0979160132974
rho_fixed,4043.7676767676767,377.23711915505004,229.58321934979276,524.8910189603073
rho_fixed,4247.59393939394,373.0618361171367,233.12404173952424,512.9996304947491
rho_fixed,4451.420202020202,366.97650288329385,231.48142989760245,502.47157586898527
rho_fixed,4655.246464646465,359.4183579553186,224.4259703501118,494.41074556052536
rho_fixed,4859.072727272727,350.81631192831435,212.63230913522494,489.00031472140375
rho_fixed,5062.89898989899,341.43180336428645,196.80385011387938,486.0597566146935
rho_fixed,5266.7252525252525,331.37117070290964,177.57484796521823,485.16749344060105
rho_fixed,5470.551515151515,320.7349034288145,156.0933428531368,485.3764640044922
rho_fixed,5674.377777777778,309.62349102663126,133.98280622292285,485.2641758303397
rho_fixed,5878.204040404041,298.13742298099066,113.02155375372601,483.2532922082553
rho_fixed,6082.030303030303,286.37439233733454,94.61557769992874,478.13320697474035
rho_fixed,6285.856565656565,274.40380894220334,78.47461546344994,470.33300242095675
rho_fixed,6489.682828282828,262.278660035143,63.70311080982768,460.85420926045833
rho_fixed,6693.509090909091,250.051730566985,50.030683504483505,450.0727776294865
rho_fixed,6897.3353535353535,237.77580548856054,37.931346866700466,437.62026411042064
rho_fixed,7101.161616161616,225.5036697507011,28.38766970346262,422.6196697979396
rho_fixed,7304.987878787879,213.33600923824767,22.160540302810034,404.5114781736853
rho_fixed,7508.814141414142,201.64697804241186,18.43267210737477,384.8612839774489
rho_fixed,7712.640404040404,190.90762497336368,15.67135635965127,366.1438935870761
rho_fixed,7916.466666666666,181.5891123842277,12.699850887570221,350.47837388088516
rho_fixed,8120.292929292929,174.1626026281286,9.352084584641261,338.97312067161596
rho_fixed,8324.119191919193,169.0992313865625,6.729610527968077,331.46885224515694
rho_fixed,8527.945454545456,166.71469208984215,6.339693824030633,327.08969035565366
rho_fixed,8731.771717171718,166.8031678152624,8.124255411966033,325.4820802185588
rho_fixed,8935.59797979798,169.0495946495816,11.407199095191743,326.69199020397144
rho_fixed,9139.424242424244,173.13890867955817,15.553288968234114,330.72452839088226
rho_fixed,9343.250505050506,178.7560459919502,20.210293099619378,337.301798884281
rho_fixed,9547.076767676768,185.58484195634423,25.360233046416965,345.8094508662715
